,Date,Team,Acquired,Relinquished,Notes
28424,2015-01-18,Magic,,Andrew Nicholson,placed on IL
28425,2015-01-18,Magic,Aaron Gordon,,activated from IL
28426,2015-01-19,76ers,,Luc Mbah a Moute,bruised left knee (DTD)
28427,2015-01-19,Bucks,,Kendall Marshall,placed on IL recovering from surgery on right knee to repair torn ACL (out for season)
28428,2015-01-19,Cavaliers,Kevin Love,,returned to lineup
28429,2015-01-19,Celtics,,James Young,placed on IL with illness
28430,2015-01-19,Celtics,Tayshaun Prince,,activated from IL
28431,2015-01-19,Grizzlies,,Russ Smith,placed on IL
28432,2015-01-19,Grizzlies,Mike Conley Jr.,,activated from IL
28433,2015-01-19,Hawks,,Shelvin Mack,placed on IL with strained left calf
28434,2015-01-19,Hawks,Dennis Schröder,,returned to lineup
28435,2015-01-19,Hawks,Pero Antic,,activated from IL
28436,2015-01-19,Hornets,,Kemba Walker,placed on IL with left knee injury
28437,2015-01-19,Hornets,Al Jefferson,,activated from IL
28438,2015-01-19,Kings,DeMarcus Cousins,,returned to lineup
28439,2015-01-19,Suns,,Reggie Bullock,placed on IL
28440,2015-01-19,Suns,Tyler Ennis,,activated from IL
28441,2015-01-19,Wizards,,DeJuan Blair,placed on IL
28442,2015-01-19,Wizards,Drew Gooden,,activated from IL
28443,2015-01-20,Heat,,Justin Hamilton ,placed on IL
28444,2015-01-20,Heat,Chris Andersen,,returned to lineup
28445,2015-01-20,Heat,Dwyane Wade,,activated from IL
28446,2015-01-20,Nuggets,,Erick Green,placed on IL
28447,2015-01-21,76ers,,Nerlens Noel,illness / upper respiratory infection (DTD)
28448,2015-01-21,Blazers,,LaMarcus Aldridge,left thumb injury (DTD)
28449,2015-01-21,Hawks,,Adreian Payne,placed on IL
28450,2015-01-21,Hawks,John Jenkins,,activated from IL
28451,2015-01-21,Heat,,Hassan Whiteside,sprained right ankle (DTD)
28452,2015-01-21,Heat,,Luol Deng,placed on IL with illness
28453,2015-01-21,Heat,Justin Hamilton ,,activated from IL
28454,2015-01-21,Hornets,,Noah Vonleh,placed on IL
28455,2015-01-21,Hornets,Kemba Walker,,activated from IL
28456,2015-01-21,Jazz,,Rodney Hood,placed on IL with foot injury / bruised left knee (P)
28457,2015-01-21,Jazz,Elliot Williams,,activated from IL
28458,2015-01-21,Kings,Ramon Sessions,,activated from IL
28459,2015-01-21,Lakers,,Tarik Black,sprained right ankle (DTD)
28460,2015-01-21,Lakers,Kobe Bryant,,returned to lineup
28461,2015-01-21,Lakers,Ronnie Price,,returned to lineup
28462,2015-01-21,Magic,,Moe Harkless,placed on IL
28463,2015-01-21,Magic,Tobias Harris,,activated from IL
28464,2015-01-21,Pelicans,Anthony Davis,,returned to lineup
28465,2015-01-21,Suns,,Tyler Ennis,placed on IL
28466,2015-01-21,Suns,,Zoran Dragic,placed on IL
28467,2015-01-21,Suns,Archie Goodwin,,activated from IL
28468,2015-01-21,Suns,Reggie Bullock,,activated from IL
28469,2015-01-21,Timberwolves,,Shabazz Muhammad,placed on IL
28470,2015-01-21,Timberwolves,Nikola Pekovic,,activated from IL
28471,2015-01-22,Bulls,Doug McDermott,,activated from IL
28472,2015-01-22,Lakers,,Kobe Bryant,torn rotator cuff in right shoulder (out for season)
28473,2015-01-22,Nets,,Kevin Garnett,rest (DTD)
28474,2015-01-22,Nets,Sergey Karasev,,returned to lineup
28475,2015-01-22,Pacers,C.J. Watson,,activated from IL
28476,2015-01-23,76ers,,Tony Wroten Jr.,placed on IL with torn ACL in right knee (out for season)
28477,2015-01-23,76ers,Luc Mbah a Moute,,returned to lineup
28478,2015-01-23,76ers,Nerlens Noel,,returned to lineup
28479,2015-01-23,Bulls,Joakim Noah,,activated from IL
28480,2015-01-23,Cavaliers,Iman Shumpert,,activated from IL
28481,2015-01-23,Celtics,,Kelly Olynyk,placed on IL with sprained right ankle
28482,2015-01-23,Celtics,James Young,,activated from IL
28483,2015-01-23,Grizzlies,,Jarnell Stokes,placed on IL
28484,2015-01-23,Grizzlies,,Jordan Adams,placed on IL
28485,2015-01-23,Heat,Luol Deng,,activated from IL
28486,2015-01-23,Knicks,,Amar'e Stoudemire,placed on IL
28487,2015-01-23,Knicks,Cleanthony Early,,activated from IL
28488,2015-01-23,Lakers,,Jeremy Lin,unspecified (DTD)
28489,2015-01-23,Magic,,Dewayne Dedmon,placed on IL
28490,2015-01-23,Magic,Andrew Nicholson,,activated from IL
28491,2015-01-23,Nets,,Mirza Teletovic,blood clots in lungs (out indefinitely)
28492,2015-01-23,Nuggets,Danilo Gallinari,,activated from IL
28493,2015-01-23,Nuggets,JaVale McGee,,returned to lineup
28494,2015-01-23,Pacers,,Shayne Whittington,placed on IL
28495,2015-01-23,Pacers,George Hill,,activated from IL
28496,2015-01-23,Pelicans,,Ryan Anderson,ankle injury (DTD)
28497,2015-01-23,Suns,,T.J. Warren,placed on IL
28498,2015-01-23,Suns,Zoran Dragic,,activated from IL
28499,2015-01-23,Warriors,,Andre Iguodala,rest (DTD)
28500,2015-01-24,Blazers,,Nicolas Batum,sprained right wrist (DTD)
28501,2015-01-24,Blazers,LaMarcus Aldridge,,returned to lineup
28502,2015-01-24,Hornets,,Kemba Walker,placed on IL with torn lateral meniscus in left knee
28503,2015-01-24,Hornets,Noah Vonleh,,activated from IL
28504,2015-01-24,Knicks,,Carmelo Anthony,sore left knee (DTD)
28505,2015-01-24,Knicks,,Jose Calderon,placed on IL with bruised left knee
28506,2015-01-24,Knicks,Amar'e Stoudemire,,activated from IL
28507,2015-01-24,Nets,,Mirza Teletovic,placed on IL with blood clots in lungs
28508,2015-01-24,Nets,Kevin Garnett,,returned to lineup
28509,2015-01-24,Nuggets,,JaVale McGee,tibia injury (DTD)
28510,2015-01-24,Pistons,,Brandon Jennings,torn left Achilles (out for season)
28511,2015-01-24,Pistons,Spencer Dinwiddie,,activated from IL
28512,2015-01-25,Cavaliers,,Brendan Haywood,left knee injury (DTD)
28513,2015-01-25,Heat,Hassan Whiteside,,returned to lineup
28514,2015-01-25,Lakers,Jeremy Lin,,returned to lineup
28515,2015-01-25,Lakers,Tarik Black,,returned to lineup
28516,2015-01-25,Magic,,Ben Gordon,placed on IL
28517,2015-01-25,Magic,Moe Harkless,,activated from IL
28518,2015-01-25,Pacers,,C.J. Miles,placed on IL with groin injury
28519,2015-01-25,Pacers,Shayne Whittington,,activated from IL
28520,2015-01-25,Pelicans,Ryan Anderson,,returned to lineup
28521,2015-01-25,Rockets,,Dwight Howard,sprained right ankle/ right knee injury (DTD)
28522,2015-01-25,Rockets,,Terrence Jones,placed on IL with nerve inflammation in left leg
28523,2015-01-25,Rockets,Clint Capela,,activated from IL
28524,2015-01-25,Suns,,Brandan Wright,placed on IL with heel injury
28525,2015-01-25,Suns,T.J. Warren,,activated from IL
28526,2015-01-25,Thunder,,Steven Adams,migraine headache (DTD)
28527,2015-01-25,Timberwolves,,Robbie Hummel,fractured right hand (out indefinitely)
28528,2015-01-25,Warriors,Andre Iguodala,,returned to lineup
28529,2015-01-26,76ers,,Michael Carter-Williams,upper respiratory infection (DTD)
28530,2015-01-26,Celtics,,Shavlik Randolph,hamstring injury (DTD)
28531,2015-01-26,Grizzlies,,Tony Allen,placed on IL with ankle injury
28532,2015-01-26,Grizzlies,Jordan Adams,,activated from IL
28533,2015-01-26,Jazz,,Jeremy Evans,illness (DTD)
28534,2015-01-26,Magic,,Moe Harkless,placed on IL
28535,2015-01-26,Magic,Dewayne Dedmon,,activated from IL
28536,2015-01-26,Thunder,,Kevin Durant,placed on IL with sprained left big toe
28537,2015-01-26,Thunder,Grant Jerrett,,activated from IL
28538,2015-01-26,Thunder,Steven Adams,,returned to lineup
28539,2015-01-27,Bulls,,Jimmy Butler,placed on IL with illness
28540,2015-01-27,Grizzlies,,Mike Conley Jr.,sprained left wrist (DTD)
28541,2015-01-27,Heat,,Chris Andersen,back injury (DTD)
28542,2015-01-27,Heat,,Luol Deng,placed on IL with calf injury
28543,2015-01-27,Lakers,,Nick Young,sprained right ankle (DTD)
28544,2015-01-27,Pistons,,Brandon Jennings,placed on IL with torn left Achilles (out for season)
28545,2015-01-27,Pistons,Gigi Datome,,activated from IL
28546,2015-01-27,Warriors,,Andrew Bogut,flu (DTD)
28547,2015-01-27,Wizards,,Paul Pierce,placed on IL with sore left big toe
28548,2015-01-27,Wizards,DeJuan Blair,,activated from IL
28549,2015-01-28,76ers,Michael Carter-Williams,,returned to lineup
28550,2015-01-28,Blazers,Nicolas Batum,,returned to lineup
28551,2015-01-28,Cavaliers,,LeBron James,sprained right wrist (DTD)
28552,2015-01-28,Clippers,,J.J. Redick,back spasms (DTD)
28553,2015-01-28,Hornets,,Bismack Biyombo,bone bruise in right knee (DTD)
28554,2015-01-28,Hornets,,Kemba Walker,surgery on left knee to repair torn lateral meniscus (out for season)
28555,2015-01-28,Hornets,,Marvin Williams,concussion (DTD)
28556,2015-01-28,Kings,Carl Landry,,activated from IL
28557,2015-01-28,Knicks,,Amar'e Stoudemire,placed on IL with wrist injury
28558,2015-01-28,Knicks,,Travis Wear,strained left hip (DTD)
28559,2015-01-28,Knicks,Carmelo Anthony,,returned to lineup
28560,2015-01-28,Knicks,Jose Calderon,,activated from IL
28561,2015-01-28,Lakers,,Kobe Bryant,surgery on right shoulder to repair torn rotator cuff (out for season)
28562,2015-01-28,Nuggets,JaVale McGee,,returned to lineup
28563,2015-01-28,Rockets,,Dwight Howard,placed on IL with sprained right ankle
28564,2015-01-28,Rockets,Terrence Jones,,activated from IL
28565,2015-01-28,Suns,,Archie Goodwin,placed on IL
28566,2015-01-28,Suns,,Zoran Dragic,placed on IL
28567,2015-01-28,Suns,Brandan Wright,,activated from IL
28568,2015-01-28,Suns,Tyler Ennis,,activated from IL
28569,2015-01-28,Timberwolves,,Mo Williams,sore left hip (DTD)
28570,2015-01-28,Timberwolves,,Robbie Hummel,placed on IL with fractured right hand
28571,2015-01-28,Timberwolves,Kevin Martin,,activated from IL
28572,2015-01-28,Wizards,,Nene Hilario ,placed on IL with foot injury
28573,2015-01-28,Wizards,Paul Pierce,,returned to lineup
28574,2015-01-28,Warriors,Festus Ezeli,,activated from IL
28575,2015-01-29,Bucks,,Ersan Ilyasova,groin injury (DTD)
28576,2015-01-29,Bucks,,Zaza Pachulia,calf injury (DTD)
28577,2015-01-29,Bulls,Jimmy Butler,,activated from IL
28578,2015-01-29,Grizzlies,Tony Allen,,activated from IL
28579,2015-01-29,Knicks,,Cole Aldrich,bruised left shin (DTD)
28580,2015-01-29,Magic,,Roy Marble ,placed on IL
28581,2015-01-29,Magic,Ben Gordon,,activated from IL
28582,2015-01-29,Nuggets,JaVale McGee,,activated from IL
28583,2015-01-29,Pacers,,Shayne Whittington,placed on IL
28584,2015-01-29,Pacers,C.J. Miles,,activated from IL
28585,2015-01-30,Cavaliers,LeBron James,,returned to lineup
28586,2015-01-30,Clippers,J.J. Redick,,returned to lineup
28587,2015-01-30,Hawks,,DeMarre Carroll,placed on IL with strained left Achilles
28588,2015-01-30,Hawks,Adreian Payne,,activated from IL
28589,2015-01-30,Heat,,Dwyane Wade,placed on IL with strained hamstring
28590,2015-01-30,Heat,Chris Andersen,,returned to lineup
28591,2015-01-30,Kings,,Reggie Evans,placed on IL
28592,2015-01-30,Mavericks,,Chandler Parsons,illness (DTD)
28593,2015-01-30,Pelicans,,Anthony Davis,strained left groin (DTD)
28594,2015-01-30,Raptors,,Amir Johnson,placed on IL
28595,2015-01-30,Raptors,,James Johnson,placed on IL with right hamstring injury
28596,2015-01-30,Raptors,Bruno Caboclo,,activated from IL
28597,2015-01-30,Suns,,Reggie Bullock,placed on IL
28598,2015-01-30,Suns,Zoran Dragic,,activated from IL
28599,2015-01-30,Warriors,Andrew Bogut,,returned to lineup
28600,2015-01-31,Grizzlies,,Vince Carter,placed on IL with left foot injury
28601,2015-01-31,Grizzlies,Mike Conley Jr.,,returned to lineup
28602,2015-01-31,Hawks,,Thabo Sefolosha,placed on IL with strained right calf
28603,2015-01-31,Magic,,Victor Oladipo,placed on IL with strained/sore right Achilles
28604,2015-01-31,Magic,Moe Harkless,,activated from IL
28605,2015-01-31,Nuggets,,Darrell Arthur,placed on IL with illness
28606,2015-01-31,Nuggets,,Kenneth Faried,placed on IL with illness
28607,2015-01-31,Nuggets,Erick Green,,activated from IL
28608,2015-01-31,Pacers,,Lavoy Allen,placed on IL with strained right knee
28609,2015-01-31,Pacers,Shayne Whittington,,activated from IL
28610,2015-01-31,Rockets,,Clint Capela,placed on IL
28611,2015-01-31,Rockets,Isaiah Canaan,,activated from IL
28612,2015-01-31,Thunder,,Grant Jerrett,placed on IL
28613,2015-01-31,Thunder,Kevin Durant,,activated from IL
28614,2015-01-31,Timberwolves,,Zach LaVine,sprained left ankle (DTD)
28615,2015-01-31,Warriors,Ognen Kuzmic,,activated from IL
28616,2015-01-31,Wizards,,DeJuan Blair,placed on IL
28617,2015-01-31,Wizards,Nene Hilario ,,activated from IL
28618,2015-02-01,Celtics,,Shavlik Randolph,placed on IL with strained hamstring
28619,2015-02-01,Celtics,,Tayshaun Prince,hip injury (DTD)
28620,2015-02-02,Bucks,,Brandon Knight,sore right quadriceps (DTD)
28621,2015-02-02,Hawks,DeMarre Carroll,,activated from IL
28622,2015-02-02,Hornets,Marvin Williams,,returned to lineup
28623,2015-02-02,Magic,,Andrew Nicholson,placed on IL
28624,2015-02-02,Magic,Victor Oladipo,,activated from IL
28625,2015-02-02,Mavericks,,Rajon Rondo,placed on IL with fractured left orbital bone and fractured nose
28626,2015-02-02,Mavericks,Chandler Parsons,,returned to lineup
28627,2015-02-02,Mavericks,Ricky Ledo,,activated from IL
28628,2015-02-02,Nets,Deron Williams,,activated from IL
28629,2015-02-02,Pelicans,Anthony Davis,,returned to lineup
28630,2015-02-02,Suns,,Tyler Ennis,placed on IL
28631,2015-02-02,Suns,,Zoran Dragic,placed on IL
28632,2015-02-02,Suns,Archie Goodwin,,activated from IL
28633,2015-02-02,Suns,Reggie Bullock,,activated from IL
28634,2015-02-02,Thunder,,Kevin Durant,placed on IL with sprained left big toe
28635,2015-02-02,Thunder,,Perry Jones III,placed on IL with ankle injury
28636,2015-02-02,Thunder,Grant Jerrett,,activated from IL
28637,2015-02-02,Thunder,Mitch McGary,,activated from IL
28638,2015-02-02,Timberwolves,Mo Williams,,returned to lineup
28639,2015-02-02,Timberwolves,Ricky Rubio,,activated from IL
28640,2015-02-03,Blazers,,Victor Claver,placed on IL
28641,2015-02-03,Blazers,Robin Lopez,,activated from IL
28642,2015-02-03,Heat,,Shawne Williams,hip injury (DTD)
28643,2015-02-03,Heat,Luol Deng,,activated from IL
28644,2015-02-03,Knicks,,Pablo Prigioni,sore left hip (DTD)
28645,2015-02-03,Nuggets,,JaVale McGee,placed on IL with illness
28646,2015-02-03,Nuggets,Darrell Arthur,,activated from IL
28647,2015-02-03,Nuggets,Kenneth Faried,,activated from IL
28648,2015-02-03,Warriors,,Ognen Kuzmic,placed on IL
28649,2015-02-03,Warriors,Festus Ezeli,,activated from IL
28650,2015-02-03,Hornets,Jannero Pargo,,activated from IL
28651,2015-02-04,Bucks,,Kenyon Martin ,sprained left ankle (DTD)
28652,2015-02-04,Bucks,Brandon Knight,,returned to lineup
28653,2015-02-04,Grizzlies,,Jordan Adams,sore left ankle (DTD)
28654,2015-02-04,Lakers,,Jordan Hill,strained hip flexor (DTD)
28655,2015-02-04,Lakers,Nick Young,,returned to lineup
28656,2015-02-04,Magic,,Aaron Gordon,placed on IL with sore left foot
28657,2015-02-04,Magic,Andrew Nicholson,,activated from IL
28658,2015-02-04,Nuggets,,Jameer Nelson,Achilles injury (DTD)
28659,2015-02-04,Raptors,,Lucas Nogueira,groin injury (DTD)
28660,2015-02-04,Spurs,,Tiago Splitter,placed on IL
28661,2015-02-04,Spurs,Marco Belinelli,,activated from IL
28662,2015-02-04,Thunder,,Mitch McGary,placed on IL
28663,2015-02-04,Thunder,Perry Jones III,,activated from IL
28664,2015-02-04,Timberwolves,Zach LaVine,,returned to lineup
28665,2015-02-05,Blazers,,Chris Kaman,placed on IL with back injury
28666,2015-02-05,Blazers,Victor Claver,,activated from IL
28667,2015-02-05,Cavaliers,Brendan Haywood,,returned to lineup
28668,2015-02-05,Clippers,,J.J. Redick,back spasms (DTD)
28669,2015-02-05,Hornets,,Bismack Biyombo,placed on IL with bone bruise in right knee
28670,2015-02-05,Mavericks,,Dirk Nowitzki,rest (DTD)
28671,2015-02-05,Suns,,T.J. Warren,placed on IL
28672,2015-02-05,Suns,Zoran Dragic,,activated from IL
28673,2015-02-05,Wizards,,Drew Gooden,placed on IL
28674,2015-02-05,Wizards,,Kevin Seraphin,sprained right ankle (DTD)
28675,2015-02-05,Wizards,DeJuan Blair,,activated from IL
28676,2015-02-06,76ers,,Michael Carter-Williams,strained right big toe (DTD)
28677,2015-02-06,Bucks,Ersan Ilyasova,,returned to lineup
28678,2015-02-06,Clippers,,Hedo Turkoglu,stomach virus (DTD)
28679,2015-02-06,Heat,,Hassan Whiteside,sprained ankle (DTD)
28680,2015-02-06,Knicks,Amar'e Stoudemire,,activated from IL
28681,2015-02-06,Knicks,Cole Aldrich,,returned to lineup
28682,2015-02-06,Lakers,,Ronnie Price,elbow injury (DTD)
28683,2015-02-06,Magic,,Andrew Nicholson,placed on IL
28684,2015-02-06,Magic,Aaron Gordon,,activated from IL
28685,2015-02-06,Pacers,,Ian Mahinmi,sprained right ankle (DTD)
28686,2015-02-06,Raptors,,Bruno Caboclo,placed on IL
28687,2015-02-06,Raptors,James Johnson,,activated from IL
28688,2015-02-06,Raptors,Lucas Nogueira,,returned to lineup
28689,2015-02-06,Spurs,,Jeff Pendergraph,placed on IL
28690,2015-02-06,Spurs,Tiago Splitter,,activated from IL
28691,2015-02-06,Suns,,Alex Len,sprained right ankle (out indefinitely)
28692,2015-02-06,Thunder,,Grant Jerrett,placed on IL
28693,2015-02-06,Thunder,Kevin Durant,,activated from IL
28694,2015-02-06,Thunder,Perry Jones III,,returned to lineup
28695,2015-02-06,Knicks,,Cleanthony Early,placed on IL
28696,2015-02-07,Blazers,,Victor Claver,placed on IL
28697,2015-02-07,Blazers,Chris Kaman,,activated from IL
28698,2015-02-07,Celtics,Tayshaun Prince,,returned to lineup
28699,2015-02-07,Jazz,,Joe Ingles,back spasms (DTD)
28700,2015-02-07,Kings,,Darren Collison,placed on IL with strained right hip flexor (out for season)
28701,2015-02-07,Kings,Reggie Evans,,activated from IL
28702,2015-02-07,Knicks,,Carmelo Anthony,placed on IL for rest
28703,2015-02-07,Knicks,Cleanthony Early,,activated from IL
28704,2015-02-07,Knicks,Travis Wear,,returned to lineup
28705,2015-02-07,Mavericks,Dirk Nowitzki,,returned to lineup
28706,2015-02-07,Nets,,Kevin Garnett,rest (DTD)
28707,2015-02-07,Wizards,,Bradley Beal,placed on IL with sore right big toe
28708,2015-02-07,Wizards,Drew Gooden,,activated from IL
28709,2015-02-07,Wizards,Kevin Seraphin,,returned to lineup
28710,2015-02-07,Grizzlies,Jordan Adams,,returned to lineup
28711,2015-02-08,Bulls,,Kirk Hinrich,placed on IL with turf toe
28712,2015-02-08,Clippers,,Blake Griffin,right elbow injury (out indefinitely)
28713,2015-02-08,Clippers,Hedo Turkoglu,,returned to lineup
28714,2015-02-08,Hawks,Shelvin Mack,,activated from IL
28715,2015-02-08,Hornets,,Michael Kidd-Gilchrist,strained right hamstring (DTD)
28716,2015-02-08,Kings,,Rudy Gay,placed on IL with sore left foot
28717,2015-02-08,Magic,Andrew Nicholson,,activated from IL
28718,2015-02-08,Pacers,,Ian Mahinmi,placed on IL with sprained right ankle
28719,2015-02-08,Spurs,Jeff Pendergraph,,activated from IL
28720,2015-02-08,Suns,,Archie Goodwin,placed on IL
28721,2015-02-08,Suns,,Reggie Bullock,placed on IL
28722,2015-02-08,Suns,T.J. Warren,,activated from IL
28723,2015-02-08,Suns,Tyler Ennis,,activated from IL
28724,2015-02-08,Thunder,,Anthony Morrow,placed on IL with right shoulder injury
28725,2015-02-08,Pacers,Lavoy Allen,,activated from IL
28726,2015-02-08,Thunder,Mitch McGary,,activated from IL
28727,2015-02-08,Hawks,,Mike Muscala,placed on IL
28728,2015-02-08,Pacers,,Lavoy Allen,sore right knee (DTD)
28729,2015-02-08,Spurs,,Reggie Williams,placed on IL
28730,2015-02-09,Bucks,Zaza Pachulia,,returned to lineup
28731,2015-02-09,Clippers,,Blake Griffin,surgery on right elbow to remove staph infection
28732,2015-02-09,Clippers,J.J. Redick,,returned to lineup
28733,2015-02-09,Heat,,James Ennis III,knee injury (DTD)
28734,2015-02-09,Heat,Hassan Whiteside,,returned to lineup
28735,2015-02-09,Knicks,,Cleanthony Early,placed on IL
28736,2015-02-09,Knicks,,Travis Wear,placed on IL
28737,2015-02-09,Knicks,Andrea Bargnani,,activated from IL
28738,2015-02-09,Knicks,Carmelo Anthony,,activated from IL
28739,2015-02-09,Magic,,Tobias Harris,sore right knee (DTD)
28740,2015-02-09,Nets,Kevin Garnett,,returned to lineup
28741,2015-02-09,Nuggets,,Jameer Nelson,placed on IL with Achilles injury
28742,2015-02-09,Nuggets,JaVale McGee,,activated from IL
28743,2015-02-09,Pelicans,,Anthony Davis,sprained right shoulder (DTD)
28744,2015-02-09,Pelicans,,Ryan Anderson,sore/sprained right elbow (DTD)
28745,2015-02-09,Spurs,,Manu Ginobili,placed on IL for rest
28746,2015-02-09,Spurs,Reggie Williams,,activated from IL
28747,2015-02-09,Thunder,Anthony Morrow,,returned to lineup
28748,2015-02-09,Thunder,Anthony Morrow,,activated from IL
28749,2015-02-09,Timberwolves,,Glenn Robinson III,placed on IL
28750,2015-02-09,Thunder,,Steven Adams,placed on IL with fractured right finger
28751,2015-02-09,Timberwolves,Shabazz Muhammad,,activated from IL
28752,2015-02-09,Thunder,,Steven Adams,surgery on right finger to repair fracture (out indefinitely)
28753,2015-02-09,Timberwolves,Shabazz Muhammad,,returned to lineup
28754,2015-02-10,Bulls,Mike Dunleavy Jr.,,activated from IL
28755,2015-02-10,Kings,,Derrick Williams,ankle injury (DTD)
28756,2015-02-10,Kings,Rudy Gay,,returned to lineup
28757,2015-02-10,Nuggets,,Erick Green,hip pointer (DTD)
28758,2015-02-10,Nuggets,JaVale McGee,,returned to lineup
28759,2015-02-10,Pistons,,Caron Butler,back spasms (DTD)
28760,2015-02-10,Pistons,,Cartier Martin,sprained right ankle (DTD)
28761,2015-02-10,Rockets,,Terrence Jones,placed on IL with flu
28762,2015-02-10,Rockets,Clint Capela,,activated from IL
28763,2015-02-10,Rockets,Nick Johnson,,activated from IL
28764,2015-02-11,Blazers,,Chris Kaman,placed on IL with ankle injury
28765,2015-02-11,Blazers,Victor Claver,,activated from IL
28766,2015-02-11,Grizzlies,Russ Smith,,activated from IL
28767,2015-02-11,Kings,Derrick Williams,,returned to lineup
28768,2015-02-11,Knicks,,Carmelo Anthony,placed on IL with knee injury (out for season)
28769,2015-02-11,Knicks,,Lance Thomas,placed on IL with ankle injury
28770,2015-02-11,Knicks,Cleanthony Early,,activated from IL
28771,2015-02-11,Knicks,Pablo Prigioni,,returned to lineup
28772,2015-02-11,Knicks,Travis Wear,,activated from IL
28773,2015-02-11,Magic,,Tobias Harris,placed on IL
28774,2015-02-11,Mavericks,,Tyson Chandler,placed on IL with sprained left ankle
28775,2015-02-11,Pacers,,Lavoy Allen,placed on IL
28776,2015-02-11,Pacers,Ian Mahinmi,,activated from IL
28777,2015-02-11,Pistons,,Caron Butler,placed on IL with back spasms
28778,2015-02-11,Spurs,,Reggie Williams,placed on IL
28779,2015-02-11,Spurs,Manu Ginobili,,activated from IL
28780,2015-02-11,Timberwolves,,Gary Neal,placed on IL
28781,2015-02-11,Timberwolves,Glenn Robinson III,,activated from IL
28782,2015-02-11,Wizards,,Kris Humphries,sore lower back (DTD)
28783,2015-02-12,Bulls,,Jimmy Butler,placed on IL with strained right shoulder
28784,2015-02-12,Cavaliers,,Kevin Love,right eye injury (DTD)
28785,2015-02-19,Clippers,,Austin Rivers,left ankle injury / sore left foot (DTD)
28786,2015-02-19,Knicks,,Carmelo Anthony,surgery on left knee to repair patellar tendon (out for season)
28787,2015-02-19,Mavericks,,Amar'e Stoudemire,placed on IL with sprained left ankle
28788,2015-02-19,Mavericks,,Dwight Powell,placed on IL
28789,2015-02-19,Mavericks,Rajon Rondo,,activated from IL
28790,2015-02-19,Mavericks,Tyson Chandler,,activated from IL
28791,2015-02-19,Bucks,Kenyon Martin ,,returned to lineup
28792,2015-02-19,Suns,Kendall Marshall,,returned to lineup
28793,2015-02-20,76ers,,Isaiah Canaan,placed on IL
28794,2015-02-20,76ers,Jason Richardson,,activated from IL
28795,2015-02-20,Blazers,,Alonzo Gee,placed on IL
28796,2015-02-20,Blazers,,Arron Afflalo,placed on IL
28797,2015-02-20,Blazers,Chris Kaman,,activated from IL
28798,2015-02-20,Bucks,,Ersan Ilyasova,illness (DTD)
28799,2015-02-20,Bulls,,Cameron Bairstow,placed on IL
28800,2015-02-20,Bulls,Jimmy Butler,,activated from IL
28801,2015-02-20,Bulls,Kirk Hinrich,,activated from IL
28802,2015-02-20,Cavaliers,Kevin Love,,returned to lineup
28803,2015-02-20,Celtics,,Jared Sullinger,placed on IL with stress fracture in left foot
28804,2015-02-20,Celtics,Shavlik Randolph,,activated from IL
28805,2015-02-20,Hawks,Mike Muscala,,activated from IL
28806,2015-02-20,Hawks,Shelvin Mack,,activated from IL
28807,2015-02-20,Heat,,Chris Bosh,placed on IL with blood clot in lungs (out for season)
28808,2015-02-20,Heat,Dwyane Wade,,activated from IL
28809,2015-02-20,Heat,James Ennis III,,returned to lineup
28810,2015-02-20,Jazz,,Grant Jerrett,placed on IL
28811,2015-02-20,Jazz,Joe Ingles,,returned to lineup
28812,2015-02-20,Jazz,Rodney Hood,,activated from IL
28813,2015-02-20,Kings,,Reggie Evans,placed on IL with bruised right knee
28814,2015-02-20,Knicks,,Shane Larkin,illness (DTD)
28815,2015-02-20,Knicks,Lance Thomas,,activated from IL
28816,2015-02-20,Lakers,Jordan Hill,,returned to lineup
28817,2015-02-20,Lakers,Ronnie Price,,returned to lineup
28818,2015-02-20,Nets,,Jarrett Jack,sore left hamstring (DTD)
28819,2015-02-20,Nuggets,,Ty Lawson,unspecified (DTD)
28820,2015-02-20,Nuggets,,Will Barton,placed on IL
28821,2015-02-20,Nuggets,Erick Green,,returned to lineup
28822,2015-02-20,Nuggets,Jameer Nelson,,activated from IL
28823,2015-02-20,Pacers,,Shayne Whittington,placed on IL
28824,2015-02-20,Pacers,Lavoy Allen,,activated from IL
28825,2015-02-20,Pelicans,,Justin Hamilton ,placed on IL
28826,2015-02-20,Pelicans,,Norris Cole ,placed on IL
28827,2015-02-20,Pelicans,Anthony Davis,,returned to lineup
28828,2015-02-20,Pelicans,Ryan Anderson,,returned to lineup
28829,2015-02-20,Pistons,Caron Butler,,activated from IL
28830,2015-02-20,Pistons,Cartier Martin,,returned to lineup
28831,2015-02-20,Rockets,,Nick Johnson,placed on IL
28832,2015-02-20,Rockets,Terrence Jones,,activated from IL
28833,2015-02-20,Spurs,,Jeff Pendergraph,placed on IL
28834,2015-02-20,Suns,,Danny Granger,placed on IL (out for season)
28835,2015-02-20,Suns,,Marcus Thornton ,placed on IL
28836,2015-02-20,Suns,Alex Len,,returned to lineup
28837,2015-02-20,Suns,Archie Goodwin,,activated from IL
28838,2015-02-20,Suns,Reggie Bullock,,activated from IL
28839,2015-02-20,Timberwolves,,Kevin Garnett,placed on IL
28840,2015-02-20,Timberwolves,Gary Neal,,activated from IL
28841,2015-02-20,Warriors,,James McAdoo ,placed on IL
28842,2015-02-20,Wizards,,Kevin Seraphin,flu (DTD)
